,1995-1999,ticker,company,1996-2000,ticker,company,1997-2001,ticker,company,1998-2002,ticker,company,1999-2003,ticker,company,2000-2004,ticker,company,2001-2005,ticker,company,2002-2006,ticker,company,2003-2007,ticker,company,2004-2008,ticker,company,2005-2009,ticker,company,2006-2010,ticker,company,2007-2011,ticker,company,2008-2012,ticker,company,2009-2013,ticker,company,2010-2014,ticker,company,2011-2015,ticker,company,2012-2016,ticker,company,2013-2017,ticker,company,2014-2018,ticker,company
403,-2.08%,BHGE,"Baker Hughes, a GE Company",-15.41%,FMC,FMC Corporation,-19.74%,HUM,Humana Inc.,-21.69%,RSG,Republic Services Inc,-42.16%,ANF,Abercrombie & Fitch,-21.90%,RCL,Royal Caribbean Cruises Ltd,-7.34%,NI,NiSource Inc.,6.64%,BBBY,Bed Bath & Beyond,51.16%,ITW,Illinois Tool Works,88.76%,LNT,Alliant Energy Corp,7.44%,KSU,Kansas City Southern,-40.56%,ADSK,Autodesk Inc,nan%,BHF,Brighthouse Financial Inc,19.68%,WYNN,Wynn Resorts,124.78%,CAT,Caterpillar Inc.,150.43%,JBHT,J. B. Hunt Transport Services,-32.46%,RDC,Rowan Companies Plc,143.32%,UNH,United Health Group Inc.,86.74%,APTV,Aptiv Plc,-50.81%,APA,Apache Corporation
404,-3.45%,FMC,FMC Corporation,-15.92%,ODP,Office Depot Inc.,-19.92%,UNM,Unum Group,-23.04%,EMN,Eastman Chemical,-42.53%,JPM,JPMorgan Chase & Co.,-22.31%,ALK,Alaska Air Group Inc,-7.74%,MCK,McKesson Corp.,6.46%,MTD,Mettler Toledo,51.07%,PAYX,Paychex Inc.,88.16%,MAC,Macerich,7.35%,SCG,SCANA Corp,-40.71%,GHC,Graham Holdings,114.30%,HP,Helmerich & Payne,19.26%,ECL,Ecolab,124.62%,FIS,Fidelity National Information Services,149.96%,GPC,Genuine Parts,-34.17%,ESV,Ensco plc,142.27%,SPGI,"S&P Global, Inc.",85.97%,OKE,ONEOK,-53.37%,MRO,Marathon Oil Corp.
405,-4.80%,UDR,UDR Inc,-16.24%,EMN,Eastman Chemical,-21.26%,DVA,DaVita,-23.19%,FL,Foot Locker Inc,-42.86%,AON,Aon plc,-22.34%,CPB,Campbell Soup,-7.74%,NOV,National Oilwell Varco Inc.,5.86%,FOX,Twenty-First Century Fox Class B,51.04%,SLM,SLM Corporation,87.77%,CAT,Caterpillar Inc.,7.17%,DRI,Darden Restaurants,-41.20%,RCL,Royal Caribbean Cruises Ltd,98.97%,CHRW,C. H. Robinson Worldwide,18.54%,FIS,Fidelity National Information Services,124.30%,ESS,"Essex Property Trust, Inc.",149.81%,FAST,Fastenal Co,-35.31%,GNW,Genworth Financial,140.56%,HSIC,Henry Schein,84.87%,ARE,Alexandria Real Estate Equities Inc,-54.16%,FCX,Freeport-McMoRan Inc.
406,-5.90%,SLG,SL Green Realty,-17.68%,UNH,United Health Group Inc.,-24.64%,SWN,Southwestern Energy,-23.72%,AOS,A.O. Smith,-42.94%,RRD,R.R. Donnelley,-22.47%,JBL,Jabil Circuit,-8.15%,SLB,Schlumberger Ltd.,5.78%,AEP,American Electric Power,50.67%,KR,Kroger Co.,79.63%,CTXS,Citrix Systems,7.02%,ROST,Ross Stores,-43.60%,ANF,Abercrombie & Fitch,94.41%,MTD,Mettler Toledo,17.00%,UPS,United Parcel Service,122.38%,EQR,Equity Residential,148.94%,CI,CIGNA Corp.,-40.42%,NE,Noble Corp,137.88%,ROST,Ross Stores,84.86%,SNPS,Synopsys Inc.,-54.25%,CNX,Consol Energy
407,-6.95%,EOG,EOG Resources,-17.95%,L,Loews Corp.,-24.79%,DNR,Denbury Resources,-24.29%,ESV,Ensco plc,-43.38%,DIS,The Walt Disney Company,-23.20%,CI,CIGNA Corp.,-8.50%,GE,General Electric,4.76%,GIS,General Mills,50.53%,AOS,A.O. Smith,77.73%,JNPR,Juniper Networks,6.67%,AOS,A.O. Smith,-44.19%,NBR,Nabors Industries,86.84%,NBL,Noble Energy Inc,16.89%,NLSN,Nielsen Holdings,122.37%,BLL,Ball Corp,146.24%,MMC,Marsh & McLennan,-40.75%,SHLD,Sears Holding Corporation,137.85%,TAP,Molson Coors Brewing Company,84.63%,BIG,Big Lots Inc.,-54.75%,GME,GameStop
408,-7.37%,ANSS,ANSYS,-18.35%,FCX,Freeport-McMoRan Inc.,-26.73%,SEE,Sealed Air,-24.71%,FTI,TechnipFMC,-43.49%,CI,CIGNA Corp.,-23.33%,GME,GameStop,-9.68%,CAH,Cardinal Health,4.39%,CCE,Coca-Cola Enterprises,49.82%,NOC,Northrop Grumman Corp.,77.00%,NTRS,Northern Trust Corp.,5.63%,WDC,Western Digital,-44.74%,FL,Foot Locker Inc,80.83%,YUM,Yum! Brands Inc,16.41%,CLX,The Clorox Company,121.36%,LEG,Leggett & Platt,146.12%,ECL,Ecolab,-43.53%,NBR,Nabors Industries,129.58%,GOOG,Alphabet Inc Class C,84.38%,AMGN,Amgen Inc,-55.52%,DISCK,Discovery Communications
409,-8.11%,FII,Federated Investors,-20.00%,TSCO,Tractor Supply Company,-27.88%,TMO,Thermo Fisher Scientific,-24.81%,R,Ryder Systems Inc.,-43.54%,CSCO,Cisco Systems,-23.41%,ADP,Automatic Data Processing,-9.69%,ES,Eversource Energy,4.01%,CTL,CenturyLink Inc,49.12%,AMP,Ameriprise Financial,76.70%,DNB,Dun & Bradstreet,5.60%,ESS,"Essex Property Trust, Inc.",-45.08%,DAL,Delta Air Lines,76.57%,RRC,Range Resources Corp.,16.18%,ORCL,Oracle Corp.,121.14%,SJM,JM Smucker,145.67%,AJG,Arthur J. Gallagher & Co.,-45.65%,APA,Apache Corporation,124.34%,BDX,Becton Dickinson,84.26%,JNJ,Johnson & Johnson,-55.78%,MNK,Mallinckrodt
410,-8.41%,SRE,Sempra Energy,-20.96%,WEC,Wec Energy Group Inc,-29.17%,RL,Polo Ralph Lauren Corp.,-24.90%,ALK,Alaska Air Group Inc,-43.55%,PBI,Pitney Bowes Inc,-23.94%,JCI,Johnson Controls Inc,-9.78%,NBR,Nabors Industries,3.39%,DXC,DXC Technology,48.45%,RDC,Rowan Companies Plc,76.36%,EMN,Eastman Chemical,4.57%,ECL,Ecolab,-45.34%,NDAQ,"Nasdaq, Inc.",76.05%,AVGO,Broadcom,14.90%,CBS,CBS Corp.,120.48%,MKC,McCormick & Co.,142.91%,FIS,Fidelity National Information Services,-46.64%,ANF,Abercrombie & Fitch,120.77%,LRCX,Lam Research,83.86%,CLX,The Clorox Company,-56.63%,DISCA,Discovery Communications
411,-11.59%,ES,Eversource Energy,-23.37%,CSX,CSX Corp.,-29.55%,FL,Foot Locker Inc,-25.00%,GLW,Corning Inc.,-43.86%,HUM,Humana Inc.,-25.08%,CDNS,Cadence Design Systems,-10.09%,RIG,Transocean,3.04%,URI,"United Rentals, Inc.",48.39%,CINF,Cincinnati Financial,76.32%,ES,Eversource Energy,4.10%,COL,Rockwell Collins,-45.56%,HOG,Harley-Davidson,75.39%,GRA,W.R. Grace,14.64%,SWN,Southwestern Energy,120.24%,BEN,Franklin Resources,140.22%,GME,GameStop,-52.86%,X,United States Steel Corporation,119.86%,AAP,Advance Auto Parts,82.64%,WEC,Wec Energy Group Inc,-58.36%,TRIP,TripAdvisor
412,-14.10%,TMO,Thermo Fisher Scientific,-25.50%,FLS,Flowserve Corporation,-29.62%,RTN,Raytheon Co.,-25.66%,KO,Coca-Cola Company,-43.94%,CLF,Cliffs Natural Resources,-25.84%,IT,Gartner Inc,-10.54%,BA,Boeing Company,2.24%,FISV,Fiserv Inc,48.30%,BIIB,Biogen Inc.,75.55%,ESS,"Essex Property Trust, Inc.",3.89%,JNJ,Johnson & Johnson,-46.09%,PFG,Principal Financial Group,73.13%,PX,Praxair Inc.,13.33%,ETN,Eaton Corporation,119.73%,ACN,Accenture plc,137.85%,AXP,American Express Co,-53.33%,FCX,Freeport-McMoRan Inc.,118.96%,ACN,Accenture plc,82.07%,BBT,BB&T Corporation,-62.41%,VIAB,Viacom Inc.
413,-14.88%,CCK,Crown Holdings,-25.93%,NBL,Noble Energy Inc,-30.55%,CSX,CSX Corp.,-26.19%,NWL,Newell Brands,-44.25%,T,AT&T Inc,-26.15%,CNP,CenterPoint Energy,-10.85%,FITB,Fifth Third Bancorp,1.98%,DISH,Dish Network,47.75%,PRGO,Perrigo,74.58%,HCP,HCP Inc.,3.25%,CLX,The Clorox Company,-46.85%,M,Macy's Inc.,70.01%,TIF,Tiffany & Co.,12.87%,PCG,PG&E Corp.,119.19%,HSIC,Henry Schein,136.01%,ZION,Zions Bancorp,-56.64%,DNR,Denbury Resources,115.72%,CBG,CBRE Group,80.68%,WU,Western Union Co,-67.87%,DO,Diamond Offshore Drilling
414,-15.04%,CMI,Cummins Inc.,-26.11%,EOG,EOG Resources,-32.60%,RSG,Republic Services Inc,-26.43%,CSX,CSX Corp.,-44.60%,TSN,Tyson Foods,-27.89%,DO,Diamond Offshore Drilling,-10.86%,UHS,"Universal Health Services, Inc.",1.85%,CL,Colgate-Palmolive,46.39%,HBAN,Huntington Bancshares,72.11%,PCG,PG&E Corp.,0.57%,CMS,CMS Energy,-46.88%,MHK,Mohawk Industries,67.18%,INTU,Intuit,11.85%,VRSN,Verisign Inc.,118.79%,AAP,Advance Auto Parts,134.76%,CVS,CVS Health,-62.39%,NFX,Newfield Exploration Co,112.79%,CLX,The Clorox Company,80.60%,Q,Qwest Communications,-69.01%,EVHC,Envision Healthcare
415,-18.59%,NUE,Nucor Corp.,-26.34%,CNX,Consol Energy,-33.03%,KSU,Kansas City Southern,-26.59%,HBAN,Huntington Bancshares,-44.88%,CCL,Carnival Corp.,-28.35%,RIG,Transocean,-10.93%,CTAS,Cintas Corporation,0.54%,CAG,Conagra Brands,44.53%,PPG,PPG Industries,71.33%,D,Dominion Energy,-0.84%,DHR,Danaher Corp.,-47.07%,DFS,Discover Financial Services,67.12%,CNX,Consol Energy,11.09%,PGR,Progressive Corp.,118.78%,HST,Host Hotels & Resorts,133.67%,CHD,Church & Dwight,-62.56%,AKS,AK Steel Holding Corp.,110.95%,TRV,The Travelers Companies Inc.,80.36%,PSX,Phillips 66,-71.26%,BBBY,Bed Bath & Beyond
416,-18.78%,FTR,Frontier Communications,-30.59%,IT,Gartner Inc,-33.08%,X,United States Steel Corporation,-26.91%,CMI,Cummins Inc.,-45.74%,VRSN,Verisign Inc.,-28.99%,IVZ,Invesco Ltd.,-11.51%,SNPS,Synopsys Inc.,0.49%,AJG,Arthur J. Gallagher & Co.,44.42%,NI,NiSource Inc.,70.38%,O,Realty Income Corporation,-0.90%,CAT,Caterpillar Inc.,-47.08%,EBAY,eBay,66.60%,AOS,A.O. Smith,10.40%,KLAC,KLA-Tencor Corp.,117.83%,CHTR,Charter Communications,132.37%,TIF,Tiffany & Co.,-63.90%,AVP,Avon Products,110.80%,LEG,Leggett & Platt,79.79%,UNP,Union Pacific,-71.60%,QEP,QEP Resources
417,-20.83%,HUM,Humana Inc.,-31.43%,RRD,R.R. Donnelley,-34.66%,ATI,Allegheny Technologies,-26.92%,TXT,Textron Inc.,-46.38%,DXC,DXC Technology,-29.15%,AMAT,Applied Materials Inc,-12.01%,HON,Honeywell Int'l Inc.,0.42%,WM,Waste Management Inc.,44.28%,GWW,Grainger (W.W.) Inc.,68.85%,FAST,Fastenal Co,-1.39%,EQR,Equity Residential,-47.60%,LVLT,Level 3 Communications,65.85%,WDC,Western Digital,10.09%,MTB,M&T Bank Corp.,117.77%,O,Realty Income Corporation,125.79%,MSI,Motorola Solutions Inc.,-65.73%,FSLR,First Solar,110.68%,AWK,American Water Works Company Inc,79.23%,CHD,Church & Dwight,-74.46%,CLF,Cliffs Natural Resources
418,-26.55%,X,United States Steel Corporation,-31.90%,GT,Goodyear Tire & Rubber,-35.00%,R,Ryder Systems Inc.,-27.68%,PCG,PG&E Corp.,-46.99%,INTC,Intel Corp.,-29.28%,ATI,Allegheny Technologies,-13.05%,CL,Colgate-Palmolive,0.32%,KLAC,KLA-Tencor Corp.,44.07%,ARNC,Arconic Inc,64.52%,STT,State Street Corp.,-1.85%,BLL,Ball Corp,-47.90%,TXT,Textron Inc.,64.92%,HES,Hess Corporation,9.93%,KSS,Kohl's,116.12%,ECL,Ecolab,124.52%,TGNA,"Tegna, Inc.",-67.36%,AMD,Advanced Micro Devices,108.98%,BLL,Ball Corp,78.18%,MPC,Marathon Petroleum,-76.09%,WIN,Windstream Holdings Inc
419,-26.56%,PRGO,Perrigo,-32.00%,DNR,Denbury Resources,-35.46%,HAS,Hasbro Inc.,-27.94%,ATI,Allegheny Technologies,-47.42%,MOS,The Mosaic Company,-29.29%,CTL,CenturyLink Inc,-13.42%,AMAT,Applied Materials Inc,-0.25%,EXPE,Expedia Inc.,43.82%,AMAT,Applied Materials Inc,63.53%,PNR,Pentair Ltd.,-2.00%,ADS,Alliance Data Systems,-48.13%,MAS,Masco Corp.,63.27%,MUR,Murphy Oil,9.62%,TGT,Target Corp.,113.26%,MAR,Marriott Int'l.,118.21%,HP,Helmerich & Payne,-89.70%,CLF,Cliffs Natural Resources,108.37%,WDC,Western Digital,78.13%,TSCO,Tractor Supply Company,-77.96%,RIG,Transocean
420,-27.70%,RSG,Republic Services Inc,-32.44%,SRE,Sempra Energy,-36.13%,FFIV,F5 Networks,-27.99%,AKS,AK Steel Holding Corp.,-48.06%,MLM,Martin Marietta Materials,-30.05%,HAL,Halliburton Co.,-14.65%,MDT,Medtronic plc,-0.39%,OMC,Omnicom Group,43.56%,ABT,Abbott Laboratories,63.11%,ABC,AmerisourceBergen Corp,-2.38%,GPC,Genuine Parts,-48.54%,NYT,The New York Times Co.,62.36%,SJM,JM Smucker,8.79%,K,Kellogg Co.,112.49%,UNH,United Health Group Inc.,117.22%,HSIC,Henry Schein,nan%,KG,King Pharmaceuticals Inc.,108.06%,CCE,Coca-Cola Enterprises,78.12%,JCI,Johnson Controls Inc,-78.30%,GNW,Genworth Financial
421,-36.11%,DNR,Denbury Resources,-34.02%,PRGO,Perrigo,-38.89%,IDXX,IDEXX Laboratories,-28.20%,HST,Host Hotels & Resorts,-48.78%,XEL,Xcel Energy Inc,-30.28%,DISH,Dish Network,-14.88%,STT,State Street Corp.,-0.64%,MAT,Mattel Inc.,43.33%,MU,Micron Technology,59.97%,LNC,Lincoln National,-2.88%,TSCO,Tractor Supply Company,-49.31%,JCP,J.C. Penney,59.51%,BLL,Ball Corp,8.43%,MMM,3M Company,112.29%,MAA,Mid-America Apartments,115.65%,ACN,Accenture plc,402.67%,AGN,"Allergan, Inc",107.31%,MS,Morgan Stanley,77.89%,EIX,Edison Int'l,-80.79%,RRC,Range Resources Corp.
422,-39.09%,RL,Polo Ralph Lauren Corp.,-39.97%,RTN,Raytheon Co.,-38.94%,URBN,Urban Outfitters,-28.72%,MCK,McKesson Corp.,-48.93%,KR,Kroger Co.,-30.88%,AMZN,Amazon.com Inc,-15.22%,GPS,Gap Inc.,-0.98%,DISCA,Discovery Communications,43.24%,WLTW,Willis Towers Watson,59.85%,WEC,Wec Energy Group Inc,-3.28%,BEN,Franklin Resources,-49.42%,JBL,Jabil Circuit,58.98%,WAT,Waters Corporation,8.37%,SYY,Sysco Corp.,112.16%,UAL,United Continental Holdings,115.50%,LNC,Lincoln National,327.89%,CHTR,Charter Communications,106.37%,ECL,Ecolab,77.88%,STT,State Street Corp.,-84.36%,FTR,Frontier Communications
423,-43.15%,VTR,Ventas Inc,-40.59%,LMT,Lockheed Martin Corp.,-40.21%,ODP,Office Depot Inc.,-28.93%,RIG,Transocean,-49.23%,CTXS,Citrix Systems,-31.51%,CMCSA,Comcast Corp.,-16.67%,CMCSA,Comcast Corp.,-1.59%,NWL,Newell Brands,43.21%,KLAC,KLA-Tencor Corp.,59.31%,PG,Procter & Gamble,-3.44%,USB,U.S. Bancorp,-49.71%,GE,General Electric,58.20%,CCK,Crown Holdings,8.04%,DHR,Danaher Corp.,110.54%,MHK,Mohawk Industries,114.45%,DHI,D. R. Horton,283.06%,MCO,Moody's Corp,103.09%,CHD,Church & Dwight,77.69%,ESS,"Essex Property Trust, Inc.",-85.22%,UA,Under Armour
424,-45.23%,SWN,Southwestern Energy,-41.30%,CCK,Crown Holdings,-40.77%,CA,"CA, Inc.",-29.17%,JWN,Nordstrom,-49.79%,HAS,Hasbro Inc.,-33.06%,AON,Aon plc,-17.01%,KSS,Kohl's,-2.45%,WAT,Waters Corporation,42.53%,ADI,"Analog Devices, Inc.",58.62%,XEL,Xcel Energy Inc,-3.56%,HAL,Halliburton Co.,-50.45%,UNH,United Health Group Inc.,50.86%,OKE,ONEOK,7.86%,AEP,American Electric Power,109.34%,MRO,Marathon Oil Corp.,113.36%,AWK,American Water Works Company Inc,239.14%,VRTX,Vertex Pharmaceuticals Inc,101.42%,TWX,Time Warner Inc.,77.33%,MAA,Mid-America Apartments,-85.46%,CHK,Chesapeake Energy
425,-46.29%,NEM,Newmont Mining Corporation,-42.84%,PCLN,Priceline.com Inc,-42.34%,TSN,Tyson Foods,-29.43%,RTN,Raytheon Co.,-50.63%,RCL,Royal Caribbean Cruises Ltd,-34.65%,VZ,Verizon Communications,-17.05%,MS,Morgan Stanley,-2.69%,HOG,Harley-Davidson,42.26%,ROST,Ross Stores,57.28%,GPC,Genuine Parts,-3.64%,CTXS,Citrix Systems,-53.16%,DRE,Duke Realty Corp,49.95%,PPG,PPG Industries,7.51%,WLTW,Willis Towers Watson,108.31%,TWX,Time Warner Inc.,111.53%,AMGN,Amgen Inc,235.82%,TSCO,Tractor Supply Company,100.91%,NEE,NextEra Energy,76.65%,XEL,Xcel Energy Inc,-85.84%,NE,Noble Corp
426,-47.61%,RRC,Range Resources Corp.,-43.94%,SWN,Southwestern Energy,-43.76%,CLF,Cliffs Natural Resources,-29.87%,AES,AES Corp,-50.75%,WM,Waste Management Inc.,-34.97%,GE,General Electric,-17.47%,BAX,Baxter International Inc.,-2.73%,WMB,Williams Cos.,41.95%,FII,Federated Investors,56.95%,MAA,Mid-America Apartments,-4.75%,AJG,Arthur J. Gallagher & Co.,-55.63%,ANDV,Andeavor,47.70%,VRSN,Verisign Inc.,6.98%,CVS,CVS Health,108.02%,CNC,Centene Corporation,108.93%,MKC,McCormick & Co.,197.20%,UNH,United Health Group Inc.,99.82%,GS,Goldman Sachs Group,76.19%,WDC,Western Digital,-86.55%,SWN,Southwestern Energy
427,-51.20%,LRCX,Lam Research,-44.12%,RSG,Republic Services Inc,-44.76%,MAT,Mattel Inc.,-31.15%,K,Kellogg Co.,-50.75%,JCI,Johnson Controls Inc,-35.62%,MCD,McDonald's Corp.,-18.62%,TRV,The Travelers Companies Inc.,-2.88%,SCHW,Charles Schwab Corporation,41.31%,AMGN,Amgen Inc,56.86%,BLL,Ball Corp,-4.99%,NEM,Newmont Mining Corporation,-55.71%,MCO,Moody's Corp,46.37%,ALGN,Align Technology,6.88%,VIAB,Viacom Inc.,104.68%,HCP,HCP Inc.,108.78%,MRO,Marathon Oil Corp.,189.97%,EQIX,Equinix,94.82%,DHR,Danaher Corp.,75.82%,VRTX,Vertex Pharmaceuticals Inc,-88.42%,ENDP,Endo International plc
428,-52.33%,PVH,PVH Corp.,-45.59%,AN,AutoNation Inc,-46.45%,PXD,Pioneer Natural Resources,-32.25%,X,United States Steel Corporation,-51.07%,ALK,Alaska Air Group Inc,-36.29%,F,Ford Motor,-18.91%,CVS,CVS Health,-3.10%,GE,General Electric,40.72%,MCHP,Microchip Technology,55.92%,BBY,Best Buy Co. Inc.,-5.06%,RIG,Transocean,-56.40%,SVU,Supervalu Inc.,44.13%,SLB,Schlumberger Ltd.,6.39%,XYL,Xylem Inc.,102.07%,AVGO,Broadcom,106.99%,BLL,Ball Corp,187.06%,EA,Electronic Arts,94.23%,PGR,Progressive Corp.,75.34%,PCG,PG&E Corp.,-89.54%,SHLD,Sears Holding Corporation
429,-53.69%,FCX,Freeport-McMoRan Inc.,-45.83%,RL,Polo Ralph Lauren Corp.,-47.38%,IFF,Intl Flavors & Fragrances,-32.52%,NSC,Norfolk Southern Corp.,-51.24%,GME,GameStop,-36.46%,XRX,Xerox Corp.,-19.75%,XEL,Xcel Energy Inc,-3.18%,AES,AES Corp,38.53%,ED,Consolidated Edison,55.10%,BIIB,Biogen Inc.,-5.27%,SNPS,Synopsys Inc.,-57.09%,JCI,Johnson Controls Inc,42.11%,ACN,Accenture plc,5.86%,FISV,Fiserv Inc,101.46%,CHD,Church & Dwight,106.79%,DHR,Danaher Corp.,180.81%,UAL,United Continental Holdings,93.63%,NTRS,Northern Trust Corp.,74.92%,BLL,Ball Corp,-89.63%,DNR,Denbury Resources
430,-57.32%,FL,Foot Locker Inc,-46.04%,MAT,Mattel Inc.,-48.46%,NSC,Norfolk Southern Corp.,-32.88%,PBCT,People's United Financial,-51.60%,PCG,PG&E Corp.,-36.61%,HON,Honeywell Int'l Inc.,-20.73%,AON,Aon plc,-3.86%,VIAB,Viacom Inc.,37.98%,JBL,Jabil Circuit,54.19%,HST,Host Hotels & Resorts,-5.89%,V,Visa Inc.,-58.82%,URI,"United Rentals, Inc.",41.27%,HCN,Welltower Inc.,4.90%,SNPS,Synopsys Inc.,100.77%,PX,Praxair Inc.,106.25%,PRU,Prudential Financial,177.47%,SPGI,"S&P Global, Inc.",93.51%,SRE,Sempra Energy,74.74%,MTB,M&T Bank Corp.,-96.12%,CPWR,Compuware
431,-72.15%,CHK,Chesapeake Energy,-46.67%,FL,Foot Locker Inc,-49.62%,GT,Goodyear Tire & Rubber,-32.95%,DO,Diamond Offshore Drilling,-51.92%,AGN,"Allergan, Inc",-36.79%,MOS,The Mosaic Company,-20.96%,ADI,"Analog Devices, Inc.",-4.42%,TSS,Total System Services,37.35%,BBT,BB&T Corporation,51.82%,MAR,Marriott Int'l.,-5.90%,WMB,Williams Cos.,-58.82%,KG,King Pharmaceuticals Inc.,40.84%,AYI,Acuity Brands Inc,4.83%,PNR,Pentair Ltd.,100.74%,MTB,M&T Bank Corp.,105.84%,UPS,United Parcel Service,173.71%,MHK,Mohawk Industries,92.73%,MAC,Macerich,74.40%,CBS,CBS Corp.,nan%,TEG,Integrys Energy Group Inc.
432,-74.56%,KMX,Carmax Inc,-47.09%,NEM,Newmont Mining Corporation,-50.25%,AKS,AK Steel Holding Corp.,-33.13%,IFF,Intl Flavors & Fragrances,-52.39%,OI,Owens-Illinois,-37.00%,NDAQ,"Nasdaq, Inc.",-21.29%,PAYX,Paychex Inc.,-4.49%,CBS,CBS Corp.,37.30%,MMM,3M Company,51.33%,MSFT,Microsoft Corp.,-7.14%,ARE,Alexandria Real Estate Equities Inc,-59.08%,FHN,First Horizon,40.61%,NSC,Norfolk Southern Corp.,4.64%,IP,International Paper,100.46%,VAR,Varian Medical Systems,105.41%,COF,Capital One Financial,158.44%,WMB,Williams Cos.,92.53%,LKQ,LKQ Corporation,73.65%,CVS,CVS Health,247.66%,EW,Edwards Lifesciences
433,-76.20%,PXD,Pioneer Natural Resources,-50.68%,JCP,J.C. Penney,-51.02%,ENDP,Endo International plc,-33.25%,PXD,Pioneer Natural Resources,-52.40%,CPB,Campbell Soup,-38.45%,TXN,Texas Instruments,-22.46%,UNM,Unum Group,-4.99%,TGNA,"Tegna, Inc.",36.98%,PKG,Packaging Corporation of America,51.25%,K,Kellogg Co.,-7.96%,FIS,Fidelity National Information Services,-59.28%,UAL,United Continental Holdings,39.07%,MAA,Mid-America Apartments,3.87%,NEE,NextEra Energy,100.14%,HAL,Halliburton Co.,104.94%,IP,International Paper,153.19%,JCI,Johnson Controls Inc,92.07%,INTU,Intuit,72.72%,GIS,General Mills,140.08%,BA,Boeing Company
434,-89.22%,LH,Laboratory Corp. of America Holding,-51.15%,HSIC,Henry Schein,-54.37%,BSX,Boston Scientific,-33.39%,NEM,Newmont Mining Corporation,-53.49%,CVS,CVS Health,-38.79%,T,AT&T Inc,-23.48%,INTC,Intel Corp.,-5.47%,CSCO,Cisco Systems,35.92%,GIS,General Mills,50.97%,VAR,Varian Medical Systems,-9.08%,BMS,Bemis Company,-61.90%,BAC,Bank of America Corp,38.82%,APD,Air Products & Chemicals Inc,3.14%,INTC,Intel Corp.,99.58%,WEC,Wec Energy Group Inc,102.31%,TRV,The Travelers Companies Inc.,151.00%,DLTR,Dollar Tree,91.62%,MMC,Marsh & McLennan,72.32%,O,Realty Income Corporation,126.63%,RTN,Raytheon Co.
435,,,,-53.79%,WDC,Western Digital,-57.64%,MOS,The Mosaic Company,-33.83%,CMS,CMS Energy,-53.58%,EIX,Edison Int'l,-40.86%,VRTX,Vertex Pharmaceuticals Inc,-24.06%,JCI,Johnson Controls Inc,-5.72%,CF,CF Industries Holdings Inc,35.85%,INTC,Intel Corp.,49.40%,TRV,The Travelers Companies Inc.,-9.87%,MKC,McCormick & Co.,-63.21%,BSX,Boston Scientific,38.74%,TAP,Molson Coors Brewing Company,2.95%,AIV,Apartment Investment & Management,99.41%,CSX,CSX Corp.,101.45%,LNT,Alliant Energy Corp,145.43%,CHD,Church & Dwight,91.52%,CMS,CMS Energy,72.16%,DG,Dollar General,125.00%,ULTA,Ulta Salon Cosmetics & Fragrance Inc
436,,,,-55.98%,TMO,Thermo Fisher Scientific,-57.87%,RRC,Range Resources Corp.,-33.89%,SEE,Sealed Air,-54.06%,IT,Gartner Inc,-43.54%,ALXN,Alexion Pharmaceuticals,-25.06%,ADP,Automatic Data Processing,-6.28%,UNM,Unum Group,35.75%,FHN,First Horizon,48.58%,EQR,Equity Residential,-9.89%,IBM,International Business Machines,-64.66%,CDNS,Cadence Design Systems,35.57%,AWK,American Water Works Company Inc,2.60%,DHI,D. R. Horton,99.01%,DHR,Danaher Corp.,100.71%,CMS,CMS Energy,142.50%,EXPE,Expedia Inc.,91.45%,ESS,"Essex Property Trust, Inc.",71.93%,AEP,American Electric Power,120.80%,MAS,Masco Corp.
437,,,,-58.96%,MOS,The Mosaic Company,-58.79%,TSCO,Tractor Supply Company,-34.28%,RCL,Royal Caribbean Cruises Ltd,-55.45%,AMD,Advanced Micro Devices,-45.28%,HPQ,HP Inc.,-26.02%,HPQ,HP Inc.,-6.99%,KO,Coca-Cola Company,34.80%,BMY,Bristol-Myers Squibb,47.28%,MRK,Merck & Co.,-9.98%,AMGN,Amgen Inc,-64.77%,MSI,Motorola Solutions Inc.,35.13%,XLNX,Xilinx Inc,2.45%,WDC,Western Digital,98.84%,IVZ,Invesco Ltd.,97.86%,MTB,M&T Bank Corp.,141.61%,SRE,Sempra Energy,91.37%,MLM,Martin Marietta Materials,71.43%,D,Dominion Energy,118.97%,IQV,IQVIA
438,,,,-60.14%,LH,Laboratory Corp. of America Holding,-58.82%,BIG,Big Lots Inc.,-34.40%,CA,"CA, Inc.",-56.12%,MSI,Motorola Solutions Inc.,-45.66%,UNM,Unum Group,-26.05%,KO,Coca-Cola Company,-7.30%,IP,International Paper,34.52%,CL,Colgate-Palmolive,46.97%,LM,Legg Mason,-13.47%,UHS,"Universal Health Services, Inc.",-65.68%,GNW,Genworth Financial,34.93%,DG,Dollar General,1.61%,WMB,Williams Cos.,96.41%,BIG,Big Lots Inc.,96.22%,NSC,Norfolk Southern Corp.,141.02%,HSY,The Hershey Company,90.04%,COO,The Cooper Companies,70.61%,AJG,Arthur J. Gallagher & Co.,112.52%,MCHP,Microchip Technology
