,1995-2016,ticker,company,1996-2017,ticker,company,1997-2018,ticker,company
117,1433.69%,TXN,Texas Instruments,970.02%,RCL,Royal Caribbean Cruises Ltd,1193.38%,FRT,Federal Realty Investment Trust
118,1422.46%,GOOG,Alphabet Inc Class C,927.91%,CXO,Concho Resources,1184.15%,MAA,Mid-America Apartments
119,1408.24%,HRS,Harris Corporation,927.72%,PDCO,Patterson Companies,1181.21%,ACN,Accenture plc
120,1407.70%,MCO,Moody's Corp,919.61%,AGN,"Allergan, Inc",1173.53%,UNP,Union Pacific
121,1406.97%,MKC,McCormick & Co.,913.08%,AIV,Apartment Investment & Management,1155.62%,CSX,CSX Corp.
122,1392.63%,DNB,Dun & Bradstreet,910.18%,XLNX,Xilinx Inc,1151.88%,ANTM,Anthem Inc.
123,1388.04%,CME,CME Group Inc.,894.65%,XRAY,Dentsply Sirona,1151.56%,BXP,Boston Properties
124,1382.11%,UNP,Union Pacific,889.10%,IBM,International Business Machines,1148.99%,EXR,Extra Space Storage
125,1373.01%,CLX,The Clorox Company,888.56%,GWW,Grainger (W.W.) Inc.,1148.16%,EL,Estee Lauder Cos.
126,1372.31%,PDCO,Patterson Companies,884.85%,HSY,The Hershey Company,1138.12%,TAP,Molson Coors Brewing Company
127,1369.35%,RHI,Robert Half International,874.12%,KLAC,KLA-Tencor Corp.,1134.61%,MSFT,Microsoft Corp.
128,1346.75%,MCK,McKesson Corp.,854.76%,VMC,Vulcan Materials,1123.21%,FAST,Fastenal Co
129,1341.99%,EA,Electronic Arts,852.74%,NOV,National Oilwell Varco Inc.,1106.85%,SYY,Sysco Corp.
130,1333.46%,CF,CF Industries Holdings Inc,843.90%,NTRS,Northern Trust Corp.,1103.36%,OXY,Occidental Petroleum
131,1316.92%,FOSL,Fossil Group,839.99%,D,Dominion Energy,1097.65%,WMT,Wal-Mart Stores
132,1290.68%,HSIC,Henry Schein,837.77%,SLB,Schlumberger Ltd.,1097.11%,ORCL,Oracle Corp.
133,1282.40%,REG,Regency Centers Corporation,822.81%,CCE,Coca-Cola Enterprises,1092.05%,HCN,Welltower Inc.
134,1281.74%,MTB,M&T Bank Corp.,821.78%,APD,Air Products & Chemicals Inc,1089.10%,AVB,"AvalonBay Communities, Inc."
135,1269.22%,OXY,Occidental Petroleum,818.58%,UAA,Under Armour,1079.71%,KG,King Pharmaceuticals Inc.
136,1263.36%,BBBY,Bed Bath & Beyond,812.78%,MMM,3M Company,1073.21%,MLM,Martin Marietta Materials
137,1255.98%,MCHP,Microchip Technology,805.64%,DE,Deere & Co.,1049.26%,TMK,Torchmark Corp.
