,1995-2011,ticker,company,1996-2012,ticker,company,1997-2013,ticker,company,1998-2014,ticker,company,1999-2015,ticker,company,2000-2016,ticker,company,2001-2017,ticker,company,2002-2018,ticker,company
30,1956.85%,ORLY,O'Reilly Automotive,1604.75%,WAT,Waters Corporation,1565.43%,TJX,TJX Companies Inc.,1792.47%,ROST,Ross Stores,1895.29%,PVH,PVH Corp.,2093.22%,MA,Mastercard Inc.,1492.09%,CRM,Salesforce.com,1891.64%,LKQ,LKQ Corporation
31,1848.13%,SBUX,Starbucks Corp.,1564.01%,COG,Cabot Oil & Gas,1554.06%,DGX,Quest Diagnostics,1757.86%,MA,Mastercard Inc.,1833.76%,CERN,Cerner,2085.25%,ESRX,Express Scripts,1477.95%,GOOGL,Alphabet Inc Class A,1810.33%,SHW,Sherwin-Williams
32,1717.52%,APH,Amphenol Corp,1542.61%,FLIR,FLIR Systems,1525.67%,BLL,Ball Corp,1688.69%,SBR,Sabre Holdings,1827.07%,MA,Mastercard Inc.,2062.14%,SBUX,Starbucks Corp.,1469.68%,BLL,Ball Corp,1727.05%,DTV,DirecTV
33,1696.23%,FLIR,FLIR Systems,1538.88%,ESS,"Essex Property Trust, Inc.",1465.07%,SBUX,Starbucks Corp.,1629.04%,SBUX,Starbucks Corp.,1779.65%,AZO,AutoZone Inc,2050.62%,ADS,Alliance Data Systems,1452.88%,LKQ,LKQ Corporation,1688.84%,AVGO,Broadcom
34,1665.48%,ALXN,Alexion Pharmaceuticals,1533.34%,CLF,Cliffs Natural Resources,1420.55%,EXPD,Expeditors International,1628.75%,TJX,TJX Companies Inc.,1728.67%,WYNN,Wynn Resorts,2041.16%,AME,AMETEK Inc,1448.42%,GOOG,Alphabet Inc Class C,1676.48%,RHT,Red Hat Inc.
35,1653.94%,ANSS,ANSYS,1501.33%,JBL,Jabil Circuit,1259.39%,CHRW,C. H. Robinson Worldwide,1625.34%,EOG,EOG Resources,1727.27%,VAR,Varian Medical Systems,1965.71%,ANDV,Andeavor,1418.43%,IT,Gartner Inc,1589.50%,DLR,Digital Realty
36,1650.05%,FFIV,F5 Networks,1436.51%,EBAY,eBay,1226.94%,FLIR,FLIR Systems,1592.70%,CHD,Church & Dwight,1711.34%,CNC,Centene Corporation,1874.62%,PSA,Public Storage,1398.85%,CHD,Church & Dwight,1581.56%,AMT,American Tower Corp A
37,1545.89%,VAR,Varian Medical Systems,1432.38%,APH,Amphenol Corp,1220.87%,ETN,Eaton Corporation,1566.88%,LKQ,LKQ Corporation,1705.69%,AME,AMETEK Inc,1862.29%,VLO,Valero Energy,1383.70%,APH,Amphenol Corp,1562.37%,BLK,BlackRock
38,1524.46%,DGX,Quest Diagnostics,1427.16%,NTAP,NetApp,1215.26%,CMI,Cummins Inc.,1548.07%,AZO,AutoZone Inc,1699.45%,CF,CF Industries Holdings Inc,1861.36%,PRGO,Perrigo,1343.18%,HUM,Humana Inc.,1481.33%,APH,Amphenol Corp
39,1515.08%,PBCT,People's United Financial,1397.70%,PCAR,PACCAR Inc.,1206.22%,FFIV,F5 Networks,1526.30%,URBN,Urban Outfitters,1664.12%,PXD,Pioneer Natural Resources,1846.31%,UNH,United Health Group Inc.,1335.64%,SHW,Sherwin-Williams,1465.46%,CF,CF Industries Holdings Inc
40,1432.50%,BLK,BlackRock,1380.52%,ETN,Eaton Corporation,1203.93%,AME,AMETEK Inc,1408.02%,CF,CF Industries Holdings Inc,1654.22%,FFIV,F5 Networks,1814.67%,EW,Edwards Lifesciences,1324.65%,FRT,Federal Realty Investment Trust,1396.71%,WDC,Western Digital
41,1401.19%,ORCL,Oracle Corp.,1377.13%,BLK,BlackRock,1200.78%,CF,CF Industries Holdings Inc,1399.03%,AME,AMETEK Inc,1620.12%,TPR,"Tapestry, Inc.",1736.63%,SPG,Simon Property Group Inc,1293.56%,DLR,Digital Realty,1344.51%,COG,Cabot Oil & Gas
42,1387.12%,RJF,Raymond James Financial Inc.,1367.94%,CHRW,C. H. Robinson Worldwide,1199.50%,MTD,Mettler Toledo,1355.16%,EQT,EQT Corporation,1613.43%,ROP,Roper Technologies,1723.26%,CRM,Salesforce.com,1189.84%,TPR,"Tapestry, Inc.",1317.41%,UNH,United Health Group Inc.
