,1995-2001,ticker,company,1996-2002,ticker,company,1997-2003,ticker,company,1998-2004,ticker,company,1999-2005,ticker,company,2000-2006,ticker,company,2001-2007,ticker,company,2002-2008,ticker,company,2003-2009,ticker,company,2004-2010,ticker,company,2005-2011,ticker,company,2006-2012,ticker,company,2007-2013,ticker,company,2008-2014,ticker,company,2009-2015,ticker,company,2010-2016,ticker,company,2011-2017,ticker,company,2012-2018,ticker,company
411,-6.85%,ISRG,Intuitive Surgical Inc.,2.62%,ZBH,Zimmer Biomet Holdings,-25.82%,MCD,McDonald's Corp.,-9.12%,SLB,Schlumberger Ltd.,-3.59%,CTAS,Cintas Corporation,-9.12%,MCD,McDonald's Corp.,15.86%,WBA,Walgreens Boots Alliance,155.12%,ESS,"Essex Property Trust, Inc.",68.27%,WAT,Waters Corporation,70.78%,ROST,Ross Stores,103.47%,WEC,Wec Energy Group Inc,-12.82%,NE,Noble Corp,-10.61%,WLTW,Willis Towers Watson,57.76%,WMB,Williams Cos.,67.52%,LH,Laboratory Corp. of America Holding,190.38%,ACN,Accenture plc,148.43%,CVS,CVS Health,-54.21%,CNX,Consol Energy
412,-10.42%,URI,"United Rentals, Inc.",1.93%,AET,Aetna Inc,-26.00%,DIS,The Walt Disney Company,-10.51%,NSC,Norfolk Southern Corp.,-5.43%,IVZ,Invesco Ltd.,-9.39%,OMC,Omnicom Group,15.77%,CL,Colgate-Palmolive,152.39%,WEC,Wec Energy Group Inc,67.91%,EMR,Emerson Electric Company,68.86%,ACN,Accenture plc,97.53%,JBHT,J. B. Hunt Transport Services,-13.79%,HOG,Harley-Davidson,-10.63%,WBA,Walgreens Boots Alliance,57.63%,EXPE,Expedia Inc.,65.27%,T,AT&T Inc,189.88%,CMS,CMS Energy,148.14%,SCHW,Charles Schwab Corporation,-55.19%,APA,Apache Corporation
413,-10.54%,PVH,PVH Corp.,1.77%,FTR,Frontier Communications,-26.01%,MAT,Mattel Inc.,-10.79%,SNA,Snap-On Inc.,-5.75%,MLM,Martin Marietta Materials,-9.54%,CPB,Campbell Soup,15.49%,KSS,Kohl's,144.14%,GS,Goldman Sachs Group,65.93%,WM,Waste Management Inc.,66.48%,ESS,"Essex Property Trust, Inc.",96.62%,O,Realty Income Corporation,-14.56%,NTRS,Northern Trust Corp.,-11.79%,MDT,Medtronic plc,48.95%,VAR,Varian Medical Systems,65.21%,XYL,Xylem Inc.,187.44%,HSY,The Hershey Company,147.49%,DG,Dollar General,-56.23%,EVHC,Envision Healthcare
414,-11.35%,HAS,Hasbro Inc.,1.37%,R,Ryder Systems Inc.,-26.75%,RTN,Raytheon Co.,-12.30%,GLW,Corning Inc.,-6.07%,BK,The Bank of New York Mellon Corp.,-10.72%,KLAC,KLA-Tencor Corp.,15.04%,DWDP,DowDuPont,142.18%,UNP,Union Pacific,64.78%,NTRS,Northern Trust Corp.,65.75%,DISCK,Discovery Communications,91.88%,JEC,Jacobs Engineering Group,-14.63%,IR,Ingersoll-Rand PLC,-11.81%,SYMC,Symantec Corp.,44.17%,SYY,Sysco Corp.,63.40%,SAIC,SAIC,183.40%,FIS,Fidelity National Information Services,146.38%,INTU,Intuit,-57.81%,ANF,Abercrombie & Fitch
415,-11.46%,BIG,Big Lots Inc.,1.03%,BSX,Boston Scientific,-27.80%,FFIV,F5 Networks,-12.32%,SEE,Sealed Air,-6.90%,TSN,Tyson Foods,-11.04%,TIF,Tiffany & Co.,13.97%,BAX,Baxter International Inc.,135.84%,RL,Polo Ralph Lauren Corp.,64.05%,SCHW,Charles Schwab Corporation,65.36%,DHR,Danaher Corp.,91.51%,EMR,Emerson Electric Company,-15.03%,SCHW,Charles Schwab Corporation,-12.00%,QEP,QEP Resources,36.34%,HRS,Harris Corporation,62.90%,WIN,Windstream Holdings Inc,176.08%,ECL,Ecolab,146.04%,ISRG,Intuitive Surgical Inc.,-60.47%,BBBY,Bed Bath & Beyond
416,-12.50%,UPS,United Parcel Service,-0.19%,NUE,Nucor Corp.,-27.91%,CMI,Cummins Inc.,-12.71%,AN,AutoNation Inc,-7.02%,XEL,Xcel Energy Inc,-11.07%,INTU,Intuit,13.51%,WU,Western Union Co,131.84%,EMR,Emerson Electric Company,63.40%,EQR,Equity Residential,64.48%,XEL,Xcel Energy Inc,90.13%,EQIX,Equinix,-15.06%,QEP,QEP Resources,-12.58%,ZBH,Zimmer Biomet Holdings,36.10%,URBN,Urban Outfitters,61.46%,OXY,Occidental Petroleum,176.03%,UNP,Union Pacific,144.47%,WEC,Wec Energy Group Inc,-64.26%,DO,Diamond Offshore Drilling
417,-13.31%,CSX,CSX Corp.,-2.52%,PRGO,Perrigo,-27.93%,WM,Waste Management Inc.,-14.40%,EMN,Eastman Chemical,-7.96%,VZ,Verizon Communications,-11.33%,AMT,American Tower Corp A,12.51%,WIN,Windstream Holdings Inc,130.71%,LM,Legg Mason,63.08%,D,Dominion Energy,62.66%,K,Kellogg Co.,86.87%,DRI,Darden Restaurants,-15.28%,ANTM,Anthem Inc.,-12.80%,JBL,Jabil Circuit,18.26%,RCL,Royal Caribbean Cruises Ltd,60.89%,BK,The Bank of New York Mellon Corp.,172.17%,GPC,Genuine Parts,143.41%,DHI,D. R. Horton,-71.37%,QEP,QEP Resources
418,-14.92%,R,Ryder Systems Inc.,-4.73%,ENDP,Endo International plc,-28.27%,URI,"United Rentals, Inc.",-14.66%,AEP,American Electric Power,-8.62%,MAT,Mattel Inc.,-11.68%,FOX,Twenty-First Century Fox Class B,12.43%,CVS,CVS Health,111.07%,HST,Host Hotels & Resorts,62.68%,PG,Procter & Gamble,61.16%,V,Visa Inc.,83.13%,CBG,CBRE Group,-15.43%,MTB,M&T Bank Corp.,-12.85%,ADSK,Autodesk Inc,13.44%,UAL,United Continental Holdings,60.01%,BBY,Best Buy Co. Inc.,172.04%,HCA,HCA Holdings,142.78%,AEE,Ameren Corp,-71.52%,RIG,Transocean
419,-20.04%,GT,Goodyear Tire & Rubber,-7.94%,CSX,CSX Corp.,-28.57%,HAS,Hasbro Inc.,-15.13%,T,AT&T Inc,-9.58%,HON,Honeywell Int'l Inc.,-11.73%,MS,Morgan Stanley,12.42%,UHS,"Universal Health Services, Inc.",110.45%,PG,Procter & Gamble,58.75%,KSU,Kansas City Southern,60.63%,DLTR,Dollar Tree,78.50%,EMN,Eastman Chemical,-15.53%,UNH,United Health Group Inc.,-13.05%,AIV,Apartment Investment & Management,13.23%,MRO,Marathon Oil Corp.,59.18%,BAX,Baxter International Inc.,171.09%,LNT,Alliant Energy Corp,142.42%,XLNX,Xilinx Inc,-73.41%,RRC,Range Resources Corp.
420,-20.28%,MOS,The Mosaic Company,-8.51%,KSU,Kansas City Southern,-29.65%,EIX,Edison Int'l,-15.15%,CCI,Crown Castle International Corp.,-10.71%,MCD,McDonald's Corp.,-12.14%,FITB,Fifth Third Bancorp,12.17%,AJG,Arthur J. Gallagher & Co.,96.17%,EMN,Eastman Chemical,57.04%,PNR,Pentair Ltd.,59.22%,PNR,Pentair Ltd.,77.31%,SRE,Sempra Energy,-15.69%,RHI,Robert Half International,-13.32%,ETR,Entergy Corp.,11.63%,DE,Deere & Co.,58.75%,KMI,Kinder Morgan,170.29%,MKC,McCormick & Co.,141.84%,IP,International Paper,-77.62%,ENDP,Endo International plc
421,-20.61%,SWN,Southwestern Energy,-9.19%,K,Kellogg Co.,-29.68%,CPB,Campbell Soup,-16.61%,ESV,Ensco plc,-12.26%,DXC,DXC Technology,-12.68%,AVY,Avery Dennison Corp,11.89%,HBI,Hanesbrands Inc,95.59%,USB,U.S. Bancorp,56.68%,KIM,Kimco Realty,58.77%,ETN,Eaton Corporation,76.31%,HSIC,Henry Schein,-15.86%,EXPE,Expedia Inc.,-13.46%,FDX,FedEx Corporation,-10.66%,QEP,QEP Resources,58.63%,PPL,PPL Corp.,168.25%,O,Realty Income Corporation,140.61%,MMM,3M Company,-79.82%,WIN,Windstream Holdings Inc
422,-21.59%,AAPL,Apple Inc.,-9.64%,SWN,Southwestern Energy,-30.10%,CNP,CenterPoint Energy,-16.62%,HOLX,Hologic,-13.09%,MSFT,Microsoft Corp.,-13.09%,DIS,The Walt Disney Company,11.23%,XEL,Xcel Energy Inc,94.86%,EA,Electronic Arts,55.24%,MKC,McCormick & Co.,58.08%,CAT,Caterpillar Inc.,73.43%,ESS,"Essex Property Trust, Inc.",-16.55%,FDX,FedEx Corporation,-13.96%,LUK,Leucadia National Corp.,-11.47%,GS,Goldman Sachs Group,58.08%,RRC,Range Resources Corp.,165.82%,TWX,Time Warner Inc.,133.87%,BLL,Ball Corp,-82.59%,NE,Noble Corp
423,-22.25%,NSC,Norfolk Southern Corp.,-11.68%,RRD,R.R. Donnelley,-30.92%,RL,Polo Ralph Lauren Corp.,-17.01%,KO,Coca-Cola Company,-13.24%,GRA,W.R. Grace,-13.09%,JCI,Johnson Controls Inc,10.12%,QCOM,QUALCOMM Inc.,86.73%,CLX,The Clorox Company,55.02%,USB,U.S. Bancorp,56.68%,JEC,Jacobs Engineering Group,70.67%,GS,Goldman Sachs Group,-16.81%,REG,Regency Centers Corporation,-14.46%,DHI,D. R. Horton,-28.56%,FHN,First Horizon,56.79%,AFL,AFLAC Inc,164.00%,TRV,The Travelers Companies Inc.,130.96%,SCG,SCANA Corp,-82.69%,CHK,Chesapeake Energy
424,-22.86%,IT,Gartner Inc,-12.04%,PCG,PG&E Corp.,-31.21%,XEL,Xcel Energy Inc,-17.02%,XEL,Xcel Energy Inc,-14.16%,HAS,Hasbro Inc.,-15.41%,IT,Gartner Inc,10.00%,TDG,TransDigm Group,83.88%,MCO,Moody's Corp,54.89%,TRV,The Travelers Companies Inc.,56.42%,ES,Eversource Energy,69.27%,WMB,Williams Cos.,-17.45%,LOW,Lowe's Cos.,-14.88%,DVN,Devon Energy,-34.12%,JEC,Jacobs Engineering Group,55.38%,MGM,MGM Resorts International,163.64%,LEG,Leggett & Platt,127.72%,CLX,The Clorox Company,-83.53%,FTR,Frontier Communications
425,-23.24%,NUE,Nucor Corp.,-12.18%,FMC,FMC Corporation,-31.32%,PXD,Pioneer Natural Resources,-18.40%,IFF,Intl Flavors & Fragrances,-14.78%,CVS,CVS Health,-16.05%,OI,Owens-Illinois,9.66%,CI,CIGNA Corp.,76.04%,AXP,American Express Co,54.06%,CLX,The Clorox Company,54.93%,LNT,Alliant Energy Corp,69.08%,HRS,Harris Corporation,-17.92%,RDC,Rowan Companies Plc,-14.96%,CCL,Carnival Corp.,-43.11%,CNX,Consol Energy,54.40%,CHRW,C. H. Robinson Worldwide,154.92%,EMN,Eastman Chemical,127.10%,MKC,McCormick & Co.,-83.69%,SHLD,Sears Holding Corporation
426,-24.77%,ADSK,Autodesk Inc,-12.32%,AYI,Acuity Brands Inc,-31.57%,HAL,Halliburton Co.,-21.01%,FLS,Flowserve Corporation,-14.91%,HPQ,HP Inc.,-16.23%,CCI,Crown Castle International Corp.,8.66%,S,Sprint Nextel Corp.,65.89%,PDCO,Patterson Companies,51.73%,ECL,Ecolab,54.66%,EQR,Equity Residential,63.64%,AGN,"Allergan, Inc",-18.33%,CBOE,CBOE Holdings,-15.42%,VNO,Vornado Realty Trust,-46.30%,MOS,The Mosaic Company,53.39%,HBAN,Huntington Bancshares,154.83%,CBG,CBRE Group,126.20%,SYY,Sysco Corp.,-83.82%,SWN,Southwestern Energy
427,-25.55%,CLF,Cliffs Natural Resources,-15.05%,RL,Polo Ralph Lauren Corp.,-32.49%,ISRG,Intuitive Surgical Inc.,-22.16%,MSI,Motorola Solutions Inc.,-14.93%,PBI,Pitney Bowes Inc,-18.15%,WIN,Windstream Holdings Inc,8.64%,AMGN,Amgen Inc,54.39%,WMB,Williams Cos.,51.19%,GIS,General Mills,54.35%,EMR,Emerson Electric Company,61.37%,COL,Rockwell Collins,-18.49%,ANF,Abercrombie & Fitch,-15.68%,GM,General Motors,-67.76%,ARNC,Arconic Inc,53.15%,SUN,Sunoco Inc.,153.44%,DRI,Darden Restaurants,125.59%,D,Dominion Energy,-85.22%,UA,Under Armour
428,-26.72%,HOLX,Hologic,-15.55%,ES,Eversource Energy,-32.59%,NEM,Newmont Mining Corporation,-22.63%,CSX,CSX Corp.,-15.14%,RTN,Raytheon Co.,-18.66%,UNM,Unum Group,7.43%,TAP,Molson Coors Brewing Company,53.30%,COO,The Cooper Companies,49.57%,GPC,Genuine Parts,53.83%,D,Dominion Energy,61.31%,URBN,Urban Outfitters,-18.53%,HRB,Block H&R,-16.02%,NTAP,NetApp,nan%,BHF,Brighthouse Financial Inc,52.28%,ARNC,Arconic Inc,152.00%,DHR,Danaher Corp.,124.59%,AEP,American Electric Power,-89.11%,CLF,Cliffs Natural Resources
429,-29.17%,RL,Polo Ralph Lauren Corp.,-17.74%,UPS,United Parcel Service,-32.85%,BA,Boeing Company,-23.32%,RDC,Rowan Companies Plc,-16.74%,CSCO,Cisco Systems,-18.88%,TGNA,"Tegna, Inc.",7.43%,TGNA,"Tegna, Inc.",44.96%,EL,Estee Lauder Cos.,48.80%,K,Kellogg Co.,53.23%,IBM,International Business Machines,60.22%,VAR,Varian Medical Systems,-18.93%,PGR,Progressive Corp.,-16.05%,BBT,BB&T Corporation,245.02%,AVGO,Broadcom,48.45%,NTRS,Northern Trust Corp.,151.77%,WEC,Wec Energy Group Inc,124.51%,SJM,JM Smucker,-89.54%,DNR,Denbury Resources
430,-30.99%,PRGO,Perrigo,-17.85%,CCI,Crown Castle International Corp.,-33.12%,MU,Micron Technology,-23.33%,GME,GameStop,-17.28%,AMZN,Amazon.com Inc,-19.82%,ARNC,Arconic Inc,6.34%,NI,NiSource Inc.,35.57%,MHK,Mohawk Industries,48.20%,SCG,SCANA Corp,53.05%,AAP,Advance Auto Parts,56.41%,WIN,Windstream Holdings Inc,-19.27%,AMGN,Amgen Inc,-16.10%,LEN,Lennar Corp.,242.57%,ALGN,Align Technology,48.28%,RDC,Rowan Companies Plc,151.59%,CLX,The Clorox Company,124.38%,TAP,Molson Coors Brewing Company,-96.12%,CPWR,Compuware
431,-32.22%,HUM,Humana Inc.,-17.88%,COL,Rockwell Collins,-33.33%,NDAQ,"Nasdaq, Inc.",-24.38%,WM,Waste Management Inc.,-18.10%,CTL,CenturyLink Inc,-20.15%,ETFC,E*Trade,5.99%,CMCSA,Comcast Corp.,32.00%,SYY,Sysco Corp.,47.52%,ROST,Ross Stores,51.16%,CNC,Centene Corporation,45.91%,NEM,Newmont Mining Corporation,-19.54%,NWL,Newell Brands,-16.29%,HOLX,Hologic,222.31%,PPG,PPG Industries,44.55%,EXPD,Expeditors International,151.38%,CF,CF Industries Holdings Inc,123.70%,WDC,Western Digital,nan%,TEG,Integrys Energy Group Inc.
432,-32.60%,RSG,Republic Services Inc,-18.61%,TMO,Thermo Fisher Scientific,-34.27%,NFLX,Netflix Inc.,-25.21%,DIS,The Walt Disney Company,-18.95%,MOS,The Mosaic Company,-20.31%,PFE,Pfizer Inc.,5.87%,DUK,Duke Energy,31.64%,EXPE,Expedia Inc.,47.04%,NEM,Newmont Mining Corporation,48.71%,VRSN,Verisign Inc.,45.34%,MRK,Merck & Co.,-20.47%,STZ,Constellation Brands,-16.91%,ARE,Alexandria Real Estate Equities Inc,217.31%,AN,AutoNation Inc,44.15%,MOS,The Mosaic Company,149.87%,TGNA,"Tegna, Inc.",123.52%,AMT,American Tower Corp A,913.87%,AAL,American Airlines Group
433,-33.93%,AKS,AK Steel Holding Corp.,-18.84%,NSC,Norfolk Southern Corp.,-35.91%,OI,Owens-Illinois,-25.32%,DNR,Denbury Resources,-19.43%,TER,Teradyne,-20.57%,IBM,International Business Machines,5.78%,JBL,Jabil Circuit,30.70%,HSY,The Hershey Company,46.96%,GRMN,Garmin Ltd.,46.18%,TRV,The Travelers Companies Inc.,39.66%,RIG,Transocean,-20.66%,GT,Goodyear Tire & Rubber,-16.93%,NRG,NRG Energy,197.24%,RL,Polo Ralph Lauren Corp.,44.03%,FLR,Fluor Corp.,146.45%,STX,Seagate Technology,122.23%,COF,Capital One Financial,578.93%,REGN,Regeneron
434,-34.66%,ATI,Allegheny Technologies,-19.66%,AN,AutoNation Inc,-37.22%,ENDP,Endo International plc,-26.16%,BMY,Bristol-Myers Squibb,-19.57%,INTC,Intel Corp.,-21.62%,ADI,"Analog Devices, Inc.",5.64%,ARNC,Arconic Inc,29.21%,MRK,Merck & Co.,46.48%,DRI,Darden Restaurants,45.83%,FIS,Fidelity National Information Services,35.20%,PG,Procter & Gamble,-20.80%,WBA,Walgreens Boots Alliance,-17.12%,SCHW,Charles Schwab Corporation,186.13%,WDC,Western Digital,43.69%,RF,Regions Financial Corp.,146.40%,GOOG,Alphabet Inc Class C,122.03%,IR,Ingersoll-Rand PLC,540.23%,INCY,Incyte
435,-36.13%,FFIV,F5 Networks,-20.15%,MSI,Motorola Solutions Inc.,-38.16%,JCP,J.C. Penney,-26.28%,BHGE,"Baker Hughes, a GE Company",-19.97%,GLW,Corning Inc.,-22.17%,IVZ,Invesco Ltd.,5.16%,DISCA,Discovery Communications,28.96%,BMS,Bemis Company,43.59%,BIIB,Biogen Inc.,45.78%,BIIB,Biogen Inc.,34.13%,BMS,Bemis Company,-21.99%,ZBH,Zimmer Biomet Holdings,-17.57%,RCL,Royal Caribbean Cruises Ltd,185.82%,APTV,Aptiv Plc,43.38%,PWR,Quanta Services Inc.,143.77%,ES,Eversource Energy,121.78%,EIX,Edison Int'l,512.53%,ADBE,Adobe Systems Inc
436,-37.13%,X,United States Steel Corporation,-21.69%,RSG,Republic Services Inc,-40.30%,CDNS,Cadence Design Systems,-26.31%,WDC,Western Digital,-21.42%,SWKS,Skyworks Solutions,-22.30%,KO,Coca-Cola Company,4.77%,NBR,Nabors Industries,27.38%,TGT,Target Corp.,41.29%,VAR,Varian Medical Systems,45.42%,CLX,The Clorox Company,25.76%,CLX,The Clorox Company,-23.51%,BBT,BB&T Corporation,-18.09%,DXC,DXC Technology,165.38%,DG,Dollar General,40.93%,PBI,Pitney Bowes Inc,142.85%,NEE,NextEra Energy,121.67%,PGR,Progressive Corp.,484.76%,SWKS,Skyworks Solutions
437,-41.74%,URBN,Urban Outfitters,-22.07%,RTN,Raytheon Co.,-41.18%,FLS,Flowserve Corporation,-26.61%,CDNS,Cadence Design Systems,-23.93%,AON,Aon plc,-22.65%,GE,General Electric,2.84%,AMT,American Tower Corp A,27.12%,JNJ,Johnson & Johnson,40.57%,T,AT&T Inc,44.72%,T,AT&T Inc,24.25%,TGT,Target Corp.,-23.52%,ANDV,Andeavor,-18.52%,NDAQ,"Nasdaq, Inc.",160.28%,AYI,Acuity Brands Inc,40.86%,ZTS,Zoetis,142.64%,JBHT,J. B. Hunt Transport Services,121.57%,PNC,PNC Financial Services,456.53%,URI,"United Rentals, Inc."
438,-45.78%,IFF,Intl Flavors & Fragrances,-22.16%,BIG,Big Lots Inc.,-41.22%,FCX,Freeport-McMoRan Inc.,-27.29%,THC,Tenet Healthcare,-24.32%,ALK,Alaska Air Group Inc,-23.83%,MMC,Marsh & McLennan,1.70%,IP,International Paper,23.14%,WU,Western Union Co,38.25%,ABC,AmerisourceBergen Corp,44.69%,JNJ,Johnson & Johnson,23.55%,HST,Host Hotels & Resorts,-23.54%,FTR,Frontier Communications,-18.83%,COF,Capital One Financial,158.16%,SJM,JM Smucker,39.85%,FTR,Frontier Communications,142.59%,TAP,Molson Coors Brewing Company,121.46%,XYL,Xylem Inc.,444.26%,VLO,Valero Energy
439,-46.45%,PXD,Pioneer Natural Resources,-23.51%,AKS,AK Steel Holding Corp.,-43.30%,TMO,Thermo Fisher Scientific,-27.75%,AON,Aon plc,-25.83%,CA,"CA, Inc.",-25.86%,DLTR,Dollar Tree,1.16%,EL,Estee Lauder Cos.,21.85%,DRI,Darden Restaurants,37.62%,SJM,JM Smucker,44.25%,SCG,SCANA Corp,15.97%,EXC,Exelon Corp.,-23.92%,BHGE,"Baker Hughes, a GE Company",-19.43%,ANTM,Anthem Inc.,157.67%,AMGN,Amgen Inc,39.80%,IQV,IQVIA,142.06%,MAA,Mid-America Apartments,121.39%,GPC,Genuine Parts,443.63%,PHM,Pulte Homes Inc.
440,-48.30%,OI,Owens-Illinois,-23.73%,IFF,Intl Flavors & Fragrances,-45.23%,UNM,Unum Group,-27.82%,S,Sprint Nextel Corp.,-26.04%,OI,Owens-Illinois,-26.09%,BIG,Big Lots Inc.,0.92%,CAH,Cardinal Health,10.53%,WIN,Windstream Holdings Inc,34.36%,FIS,Fidelity National Information Services,42.77%,JNPR,Juniper Networks,14.92%,JNJ,Johnson & Johnson,-24.10%,CA,"CA, Inc.",-19.66%,REG,Regency Centers Corporation,157.24%,ACN,Accenture plc,39.80%,Q,Qwest Communications,138.82%,MSI,Motorola Solutions Inc.,120.85%,AJG,Arthur J. Gallagher & Co.,425.14%,BAC,Bank of America Corp
441,-49.17%,NEM,Newmont Mining Corporation,-24.70%,EMN,Eastman Chemical,-47.05%,CLF,Cliffs Natural Resources,-29.57%,ALK,Alaska Air Group Inc,-27.93%,SNPS,Synopsys Inc.,-26.21%,HON,Honeywell Int'l Inc.,-0.15%,GT,Goodyear Tire & Rubber,8.91%,EQIX,Equinix,33.50%,SYMC,Symantec Corp.,40.69%,BMS,Bemis Company,13.69%,WMT,Wal-Mart Stores,-24.27%,CBG,CBRE Group,-19.72%,DWDP,DowDuPont,155.73%,XEC,Cimarex Energy,39.43%,DGX,Quest Diagnostics,137.58%,DXC,DXC Technology,120.49%,BDX,Becton Dickinson,406.29%,ANDV,Andeavor
442,-51.02%,ENDP,Endo International plc,-24.71%,FTI,TechnipFMC,-47.37%,HUM,Humana Inc.,-29.72%,CNP,CenterPoint Energy,-28.03%,WDC,Western Digital,-27.07%,CTL,CenturyLink Inc,-1.39%,GE,General Electric,5.73%,BBT,BB&T Corporation,32.85%,PGR,Progressive Corp.,40.59%,GPC,Genuine Parts,11.26%,CHTR,Charter Communications,-24.42%,NRG,NRG Energy,-20.23%,AEE,Ameren Corp,155.22%,AJG,Arthur J. Gallagher & Co.,39.09%,CHK,Chesapeake Energy,135.49%,JCI,Johnson Controls Inc,117.10%,XEL,Xcel Energy Inc,376.09%,MAS,Masco Corp.
443,-53.02%,ODP,Office Depot Inc.,-26.42%,JCP,J.C. Penney,-47.92%,TSN,Tyson Foods,-30.85%,TSN,Tyson Foods,-28.94%,VRTX,Vertex Pharmaceuticals Inc,-29.24%,WMT,Wal-Mart Stores,-1.48%,WYN,Wyndham Worldwide,-3.57%,BSX,Boston Scientific,30.57%,GS,Goldman Sachs Group,39.89%,AOS,A.O. Smith,6.07%,USB,U.S. Bancorp,-24.66%,STT,State Street Corp.,-20.89%,HOG,Harley-Davidson,152.94%,ENDP,Endo International plc,39.07%,ANF,Abercrombie & Fitch,134.25%,KSU,Kansas City Southern,116.56%,ETFC,E*Trade,nan%,APOL,Apollo Group Inc.
444,-58.02%,FLIR,FLIR Systems,-26.96%,MAT,Mattel Inc.,-48.72%,BIG,Big Lots Inc.,-31.12%,RHT,Red Hat Inc.,-29.19%,CCI,Crown Castle International Corp.,-29.29%,GT,Goodyear Tire & Rubber,-1.98%,VZ,Verizon Communications,-5.41%,IP,International Paper,27.82%,UNH,United Health Group Inc.,38.93%,PG,Procter & Gamble,5.71%,EXPE,Expedia Inc.,-25.07%,PRU,Prudential Financial,-20.96%,PLD,Prologis,150.11%,FIS,Fidelity National Information Services,37.93%,EVHC,Envision Healthcare,131.68%,GWW,Grainger (W.W.) Inc.,113.68%,FITB,Fifth Third Bancorp,524.85%,MU,Micron Technology
445,-58.02%,TSCO,Tractor Supply Company,-27.92%,VTR,Ventas Inc,-48.96%,X,United States Steel Corporation,-31.34%,RTN,Raytheon Co.,-29.25%,LLY,Lilly (Eli) & Co.,-29.50%,CDNS,Cadence Design Systems,-4.14%,VIAB,Viacom Inc.,-5.53%,VRTX,Vertex Pharmaceuticals Inc,27.63%,CI,CIGNA Corp.,38.15%,ARE,Alexandria Real Estate Equities Inc,3.87%,LEG,Leggett & Platt,-25.73%,GS,Goldman Sachs Group,-21.43%,AKAM,Akamai Technologies Inc,147.52%,INTU,Intuit,37.32%,NFX,Newfield Exploration Co,130.99%,SJM,JM Smucker,112.46%,ES,Eversource Energy,374.34%,LMT,Lockheed Martin Corp.
446,-58.99%,ILMN,Illumina Inc,-27.94%,ATI,Allegheny Technologies,-49.83%,AMD,Advanced Micro Devices,-33.43%,TMO,Thermo Fisher Scientific,-29.63%,NWL,Newell Brands,-29.82%,HPQ,HP Inc.,-4.75%,XL,XL Capital,-11.14%,LEG,Leggett & Platt,27.34%,JNJ,Johnson & Johnson,37.28%,MKC,McCormick & Co.,0.66%,BIIB,Biogen Inc.,-26.33%,CME,CME Group Inc.,-22.14%,MCO,Moody's Corp,143.77%,XLNX,Xilinx Inc,36.27%,FHN,First Horizon,128.42%,AJG,Arthur J. Gallagher & Co.,111.99%,PKI,PerkinElmer,366.62%,FB,"Facebook, Inc."
447,-62.01%,FCX,Freeport-McMoRan Inc.,-29.25%,X,United States Steel Corporation,-50.67%,HOLX,Hologic,-33.55%,A,Agilent Technologies Inc,-29.74%,ODP,Office Depot Inc.,-30.07%,PWR,Quanta Services Inc.,-5.11%,AMAT,Applied Materials Inc,-11.66%,WMT,Wal-Mart Stores,26.27%,EL,Estee Lauder Cos.,35.86%,TSCO,Tractor Supply Company,-0.22%,PLD,Prologis,-26.61%,ADBE,Adobe Systems Inc,-22.70%,WPX,"WPX Energy, Inc.",142.20%,BLL,Ball Corp,34.94%,XOM,Exxon Mobil Corp.,126.03%,PGR,Progressive Corp.,111.98%,TGNA,"Tegna, Inc.",361.16%,BA,Boeing Company
448,-66.67%,EQIX,Equinix,-29.27%,OI,Owens-Illinois,-51.24%,GME,GameStop,-33.79%,IPG,Interpublic Group,-30.00%,PFE,Pfizer Inc.,-30.14%,IP,International Paper,-5.44%,PAYX,Paychex Inc.,-16.14%,DLTR,Dollar Tree,24.10%,MAR,Marriott Int'l.,35.60%,VAR,Varian Medical Systems,-0.87%,MMC,Marsh & McLennan,-26.80%,MDT,Medtronic plc,-23.10%,JCI,Johnson Controls Inc,139.76%,F,Ford Motor,33.90%,SBR,Sabre Holdings,125.81%,STI,SunTrust Banks,111.81%,LRCX,Lam Research,352.78%,RTN,Raytheon Co.
449,-66.85%,JCP,J.C. Penney,-29.94%,TSN,Tyson Foods,-52.27%,FL,Foot Locker Inc,-34.60%,NOV,National Oilwell Varco Inc.,-31.30%,KO,Coca-Cola Company,-30.29%,EL,Estee Lauder Cos.,-6.65%,MDT,Medtronic plc,-17.42%,BIIB,Biogen Inc.,23.17%,AOS,A.O. Smith,33.92%,TGT,Target Corp.,-1.03%,HSY,The Hershey Company,-26.91%,AES,AES Corp,-24.41%,VLO,Valero Energy,139.56%,WYNN,Wynn Resorts,30.62%,BAC,Bank of America Corp,125.46%,FAST,Fastenal Co,111.47%,MTB,M&T Bank Corp.,320.52%,HBI,Hanesbrands Inc
450,-67.22%,XRX,Xerox Corp.,-30.81%,WDC,Western Digital,-53.33%,PWR,Quanta Services Inc.,-35.32%,NWL,Newell Brands,-31.79%,S,Sprint Nextel Corp.,-32.30%,TXN,Texas Instruments,-6.78%,HD,Home Depot,-36.17%,FHN,First Horizon,21.22%,TGT,Target Corp.,33.10%,EL,Estee Lauder Cos.,-3.86%,WU,Western Union Co,-27.01%,AVP,Avon Products,-25.47%,ANF,Abercrombie & Fitch,134.22%,PSX,Phillips 66,30.45%,NAVI,Navient,120.80%,BDX,Becton Dickinson,111.39%,PRU,Prudential Financial,316.25%,GPN,Global Payments Inc
